구분자(PK),공구 대분류 코드,공구 대분류,공구 중분류 코드,공구 중분류,공구 이름,과금기준,수량,장소 PK,대여장소명,상세주소,위도,경도,전화번호,평일오픈시간,평일클로즈시간,생성일시,요금,cluster
15228,4,기타공구,44,기타공구,거리측정기,1일,1,13229,보문동주민센터,안암로3길 35,37.580383,127.0228,0222415246,900.0,1800.0,2023-01-13 16:19:05,1000원,67
14279,4,기타공구,44,기타공구,거리측정기,1일,1,261,장위2동 공구대여소,서울특별시 성북구 돌곶이로27길 12,37.6123899,127.0545206,02-2241-5717,900.0,1800.0,2022-06-24 08:15:23,2000원,67
16312,4,기타공구,44,기타공구,거짓말탐지기,1일,1,493,광희동 공구대여소,서울특별시 중구 광희동1가 252,37.56447,127.00504,02-3396-6654,1030.0,1700.0,2024-04-18 11:02:02,1000원,-1
16847,4,기타공구,44,기타공구,건 타카,없음,1,461,응암2동 공유대여소,서울특별시 은평구 응암동 229-13,37.59458,126.92307,02-351-5264,900.0,1800.0,2024-07-02 08:37:10,무료,-1
16310,4,기타공구,44,기타공구,건습식 청소기(집진형),1일,1,493,광희동 공구대여소,서울특별시 중구 광희동1가 252,37.56447,127.00504,02-3396-6654,1030.0,1700.0,2024-04-18 10:53:43,2000원,-1
15680,4,기타공구,44,기타공구,건타카,없음,1,83,광장동 공구대여소,서울특별시 광진구 광장동 248-24,37.546892,127.103025,02-450-1278,900.0,1800.0,2023-06-02 18:01:47,무료,63
12361,4,기타공구,44,기타공구,건타카+타카핀,1일,2,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,900.0,1800.0,2021-09-30 15:43:04,1500원,-1
15869,4,기타공구,44,기타공구,경광등,없음,1,13020,개포1동 주민센터 공구대여소,서울특별시 강남구 개포로 303 현대1차상가 1층,37.4824625,127.0544858,02-3423-7670,900.0,1800.0,2023-07-25 13:26:04,무료,-1
13649,4,기타공구,44,기타공구,경량몽키,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,900.0,1800.0,2022-06-16 16:56:10,무료,219
16167,4,기타공구,44,기타공구,고무롤러,없음,2,119,공릉1동주민센터 공구대여소,서울특별시 노원구 공릉동 499-25,37.624874,127.073838,02-2116-2495,900.0,1800.0,2024-02-13 09:29:02,무료,-1
14290,4,기타공구,44,기타공구,고무망치,없음,1,13020,개포1동 주민센터 공구대여소,서울특별시 강남구 개포로 303 현대1차상가 1층,37.4824625,127.0544858,02-3423-7670,900.0,1800.0,2022-06-24 09:23:51,무료,49
16416,4,기타공구,44,기타공구,고압 세척기,없음,2,492,장충동 공구대여소,서울특별시 중구 장충동1가 37-14,37.56191,127.00784,02-3396-8504,900.0,1800.0,2024-05-16 13:49:49,무료,-1
15121,4,기타공구,44,기타공구,"고압력 쌍발 발펌프(자동차,오토바이,자전거)",없음,1,379,이태원제1동주민센터 우리동네 공구함,서울특별시 용산구 이태원동 100-3,37.532474,126.9950687,02-2199-8628,900.0,1800.0,2022-11-09 13:39:57,무료,-1
10784,4,기타공구,44,기타공구,공구놀이세트,없음,2,106,독산2동 주민센터 공구도서관,서울 금천구 범안로 1240-7,37.4660771,126.8975502,02-2104-5572,900.0,1800.0,2020-11-23 17:48:07,무료,-1
15596,4,기타공구,44,기타공구,공구세트,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,900.0,1800.0,2023-05-04 12:43:53,300원,368
15180,4,기타공구,44,기타공구,공구세트,없음,1,454,불광1동 공구대여소,서울특별시 은평구 불광동 613-1,37.61036,126.93208,02-351-5033 ,900.0,1800.0,2022-11-24 15:51:06,무료,368
17209,4,기타공구,44,기타공구,공구함,없음,1,13267,송중동주민센터,서울특별시 강북구 미아동 87-141,37.616099,127.033738,02-3778-4104,900.0,1800.0,2025-03-25 10:10:46,무료,344
15666,4,기타공구,44,기타공구,공구함(내용물 미포함),없음,2,341,우리동네 공구도서관(양평2동),서울특별시 영등포구 선유로47길 30,37.5364739,126.8939535,02-3457-7435,900.0,1800.0,2023-05-23 22:45:46,무료,-1
16338,4,기타공구,44,기타공구,공유우산 ,없음,30,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 19:19:40,무료,3
9270,4,기타공구,44,기타공구,관통기,없음,0,13007,개포4동 주민센터,서울특별시 강남구 개포동 1211-4,37.4788568,127.0516419,02-3423-7854,900.0,1800.0,2018-11-20 16:18:02,무료,-1
16105,4,기타공구,44,기타공구,글루건,없음,1,137,방학1동 우리동네 0.9.대여점,서울시 도봉구 방학로2길 27(방학동),37.6641887,127.0384572,02-2091-5604,900.0,1800.0,2023-11-30 13:44:54,무료,79
15623,4,기타공구,44,기타공구,글루건,1일,1,13329,성내3동주민센터,강동대로53길 76,37.5260101,127.13287,0234257824,900.0,1800.0,2023-05-04 15:05:00,300원,79
15335,4,기타공구,44,기타공구,글루건,없음,1,166,흑석동주민센터 공구대여소,서울특별시 동작구 흑석한강로11,37.5058617,126.966612,02-820-2546,900.0,1800.0,2023-03-03 14:18:55,무료,79
14937,4,기타공구,44,기타공구,글루건,1일,1,13250,한남동주민센터,서울특별시 용산구 한남동 685-43,37.53455,127.0005,02-2199-8667,900.0,1800.0,2022-09-28 16:20:18,10000원,79
13798,4,기타공구,44,기타공구,글루건,없음,1,288,잠실7동 주민센터,서울특별시 송파구 잠실동 85-1,37.50863,127.07714,02-2147-4766,900.0,1800.0,2022-06-20 14:33:48,무료,79
13008,4,기타공구,44,기타공구,글루건,없음,1,13173,방배3동주민센터,서초구 방배로40,37.4784409,126.9999918,02-2155-7813,,,2021-11-26 15:44:28,0원,79
13659,4,기타공구,44,기타공구,글루건 건,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,900.0,1800.0,2022-06-16 17:02:50,무료,79
9169,4,기타공구,44,기타공구,글루건 심,없음,5,13005,일원본동 주민센터,서울특별시 강남구 일원동 735-3,37.483362,127.0864614,02-3423-8253,900.0,1800.0,2018-11-19 11:25:40,무료,80
12354,4,기타공구,44,기타공구,글루건+막대본드,1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,900.0,1800.0,2021-09-30 15:40:08,500원,-1
10614,4,기타공구,44,기타공구,"글루건, 핫멜트봉",없음,1,13035,항동 공구대여소,서울특별시 구로구 항동 243-1,37.4790477,126.8223129,02-2620-7595,900.0,1800.0,2020-11-23 15:04:30,무료,-1
15932,4,기타공구,44,기타공구,글루스틱,없음,2,13360,잠원동주민센터,나루터로 38,37.5149619,127.0140771,02-2155-7543,900.0,1800.0,2023-08-02 07:58:28,무료,-1
15312,4,기타공구,44,기타공구,기리세트(계양용),1일,1,251,성수1가1동 공구대여소,"서울특별시 성동구 뚝섬로3길 18, 3층",37.54202,127.04968,02-2286-7423,900.0,1800.0,2023-02-10 17:30:39,500원,-1
15318,4,기타공구,44,기타공구,납 인두기& 흡입기 등,없음,1,13061,홍은2동주민센터 공구대여소,서울특별시 서대문구 홍은동 273-10,37.5801972,126.9342509,02-330-8786,900.0,1800.0,2023-02-22 13:47:33,무료,-1
10197,4,기타공구,44,기타공구,낫,없음,3,13026,삼성2동 주민센터 공구대여소,서울특별시 강남구 삼성동 38-34,37.5112037,127.0459453,02-3423-8208,900.0,1800.0,2018-11-27 15:59:39,무료,36
17067,4,기타공구,44,기타공구,니퍼,없음,3,504,중림종합사회복지관,서울특별시 중구 중림동 156-176,37.5595228,126.9662513,02-362-3348,900.0,2000.0,2024-12-04 15:17:09,무료,103
15598,4,기타공구,44,기타공구,니퍼,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,900.0,1800.0,2023-05-04 12:44:53,300원,103
13894,4,기타공구,44,기타공구,니퍼,없음,1,13020,개포1동 주민센터 공구대여소,서울특별시 강남구 개포로 303 현대1차상가 1층,37.4824625,127.0544858,02-3423-7670,900.0,1800.0,2022-06-20 20:26:47,무료,103
16898,4,기타공구,44,기타공구,다목적 가위,없음,1,333,우리동네 공구도서관(문래동),서울특별시 영등포구 문래동3가 55-16,37.51712,126.89953,02-2670-1175,900.0,1800.0,2024-08-13 13:43:18,무료,146
16317,4,기타공구,44,기타공구,다목적 가위,없음,1,47,우이동 공구대여소,서울특별시 강북구 삼양로139길49,37.6479523,127.0118533,02-3778-4902,900.0,1800.0,2024-04-18 17:26:09,무료,146
13546,4,기타공구,44,기타공구,다목적 드릴비트(육각),없음,10,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,900.0,1800.0,2022-06-14 16:48:42,무료,-1
13545,4,기타공구,44,기타공구,다목적 드릴비트(육각),없음,10,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,900.0,1800.0,2022-06-14 16:46:50,무료,-1
12358,4,기타공구,44,기타공구,다목적가위,1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,900.0,1800.0,2021-09-30 15:41:48,500원,145
16852,4,기타공구,44,기타공구,다목적드릴비트세트,없음,1,163,상도1동주민센터 공구대여소,서울특별시 동작구 상도동 437,37.4981019,126.9530979,8202451,900.0,1800.0,2024-07-09 16:54:03,무료,357
10915,4,기타공구,44,기타공구,다용도 공구세트,없음,3,13042,응암1동주민센터 공구대여소,서울특별시 은평구 응암동 96-3,37.6006884,126.926813,02-351-5215,900.0,1800.0,2020-11-25 10:38:46,무료,-1
16332,4,기타공구,44,기타공구,다용도 미니 조명 ,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 19:14:40,1000원,-1
16329,4,기타공구,44,기타공구,단일지향 미니마이크 ,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 19:12:46,1000원,-1
13543,4,기타공구,44,기타공구,드라이버 비트,없음,10,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,900.0,1800.0,2022-06-14 16:37:13,무료,324
16200,4,기타공구,44,기타공구,드라이버 십자 단용 8+,1일,1,2431,화곡1동 주민센터 공구대여소,서울특별시 강서구 화곡동 425-13,37.5303331,126.8414902,02-2600-7525,900.0,1800.0,2024-02-23 16:52:46,500원,-1
10635,4,기타공구,44,기타공구,드라이버비트,없음,10,13035,항동 공구대여소,서울특별시 구로구 항동 243-1,37.4790477,126.8223129,02-2620-7595,900.0,1800.0,2020-11-23 15:12:09,무료,324
14856,4,기타공구,44,기타공구,드릴기리세트,없음,3,108,독산4동 주민센터 공구도서관,서울특별시 금천구 독산로 232,37.4675452,126.9022074,02-2104-5347,900.0,1800.0,2022-09-02 10:17:16,무료,-1
15315,4,기타공구,44,기타공구,디지털염도계,없음,1,13066,노량진2동주민센터 공구대여소,서울시 동작구 장승배기로19길 48,37.508509,126.937352,02-820-2430,900.0,1800.0,2023-02-21 14:16:02,무료,-1
14446,4,기타공구,44,기타공구,라돈기,없음,1,13061,홍은2동주민센터 공구대여소,서울특별시 서대문구 홍은동 273-10,37.5801972,126.9342509,02-330-8786,900.0,1800.0,2022-06-28 07:32:49,무료,66
16634,4,기타공구,44,기타공구,라돈측정기,없음,1,13215,삼양동 주민센터,서울특별시 강북구 미아동 762-20,37.6250518,127.0197725,02-3778-4004,900.0,1800.0,2024-06-10 14:54:05,무료,66
16350,4,기타공구,44,기타공구,라돈측정기,없음,1,494,을지로동 공구대여소,서울특별시 중구 을지로3가 95-7,37.5670173,126.9913248,02-3396-6695,900.0,1800.0,2024-04-23 15:19:05,무료,66
15911,4,기타공구,44,기타공구,라돈측정기,없음,1,13220,미아동주민센터,서울특별시 강북구 미아동 197-1,37.6270736,127.0269791,02-3778-4054,900.0,1800.0,2023-07-28 16:09:59,무료,66
14377,4,기타공구,44,기타공구,라돈측정기,1일,1,244,사근동 공구대여소,서울특별시 성동구 사근동길 37,37.56152,127.04535,02-2286-7271,900.0,1800.0,2022-06-27 10:24:35,1000원,66
14084,4,기타공구,44,기타공구,라돈측정기,없음,1,500,동화동 공구대여소,서울특별시 중구 신당동 850,37.5600562,127.0194239,02-3396-6864,900.0,1800.0,2022-06-22 15:10:08,무료,66
13851,4,기타공구,44,기타공구,라돈측정기,1일,1,253,성수2가3동 공구대여소,서울특별시 성동구 성수동2가 299-240,37.54822,127.05525,02-2286-7483,900.0,1700.0,2022-06-20 15:49:05,1000원,66
13409,4,기타공구,44,기타공구,라돈측정기,없음,2,102,오류2동 공구대여소,서울특별시 구로구 오류동 172-76,37.4887725,126.8395642,02-2620-7578,900.0,1800.0,2022-06-13 17:05:56,무료,66
16654,4,기타공구,44,기타공구,랜턴,없음,1,13267,송중동주민센터,서울특별시 강북구 미아동 87-141,37.616099,127.033738,02-3778-4104,900.0,1800.0,2024-06-11 15:16:29,무료,207
13671,4,기타공구,44,기타공구,레이저줄자,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,900.0,1800.0,2022-06-16 17:10:56,무료,-1
14494,4,기타공구,44,기타공구,레이져거리측정기 ,없음,1,499,신당5동 공구도서관,서울특별시 중구 신당동 80-70,37.5625561,127.021512,02-3298-6844,1000.0,1700.0,2022-06-28 22:22:11,무료,69
13646,4,기타공구,44,기타공구,로터리햄머드릴,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,900.0,1800.0,2022-06-16 16:54:01,무료,-1
15599,4,기타공구,44,기타공구,롱 노우즈,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,900.0,1800.0,2023-05-04 12:45:24,300원,-1
16334,4,기타공구,44,기타공구,룩스패드43 203스탠드 ,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 19:16:08,2000원,-1
12336,4,기타공구,44,기타공구,리드선,1일,1,50,화곡4동 공구대여소,서울특별시 강서구 화곡동 809-3,37.5345658,126.8607878,02-2600-7604,900.0,1800.0,2021-09-30 15:31:40,250원,-1
13515,4,기타공구,44,기타공구,리튬이온 밧데리,없음,1,491,필동 공구대여소,서울특별시 중구 필동2가 19-17,37.5603732,126.9955632,02-3396-6595,900.0,1800.0,2022-06-14 16:12:29,무료,-1
13516,4,기타공구,44,기타공구,리튬이온 배터리 충전기,없음,1,491,필동 공구대여소,서울특별시 중구 필동2가 19-17,37.5603732,126.9955632,02-3396-6595,900.0,1800.0,2022-06-14 16:13:00,무료,-1
11321,4,기타공구,44,기타공구,릴호스(20M),1일,1,2434,방화1동 주민센터 공구대여소,서울특별시 강서구 마곡동 733-2,37.5703847,126.8169733,02-2600-7975,900.0,1800.0,2020-11-25 17:44:25,500원,87
12543,4,기타공구,44,기타공구,만능작업대,없음,1,326,신목종합사회복지관,서울특별시 양천구 신정동 1278-1,37.51685,126.87645,02-2223-8816,900.0,2000.0,2021-10-05 11:24:20,무료,91
16855,4,기타공구,44,기타공구,망치,없음,1,132,쌍문2동 노해마을 공구대여점,서울특별시 도봉구 도봉로137길 21(쌍문동),37.6599143,127.0397304,02-2091-5539,900.0,1800.0,2024-07-11 15:54:41,무료,267
13558,4,기타공구,44,기타공구,목발(대/중/소),1일,3,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,900.0,1800.0,2022-06-14 17:24:53,1000원,-1
15600,4,기타공구,44,기타공구,몽키 스패너,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,900.0,1800.0,2023-05-04 12:45:52,300원,221
15380,4,기타공구,44,기타공구,몽키스패너,없음,1,458,구산동주민센터 공구대여소,서울특별시 은평구 구산동 27-5,37.61176,126.91035,02-351-5175,900.0,1800.0,2023-04-20 09:32:31,무료,232
16761,4,기타공구,44,기타공구,무선전동 드라이버,없음,2,13212,수색동주민센터,서울특별시 은평구 수색동 417-4,37.5835188,126.8936727,02-351-5425,900.0,1800.0,2024-06-24 15:02:24,무료,327
15083,4,기타공구,44,기타공구,물호스,1일,1,13229,보문동주민센터,안암로3길 35,37.580383,127.0228,0222415246,900.0,1800.0,2022-11-04 14:09:50,1000원,88
14834,4,기타공구,44,기타공구,물호스,1일,1,13242,삼선동 주민센터,서울특별시 성북구 삼선동4가 349-1,37.5908815,127.0146539,02)2241-5045,900.0,1800.0,2022-08-26 14:00:30,1000원,88
14739,4,기타공구,44,기타공구,물호스,1일,1,13239,돈암2동 주민센터,서울특별시 성북구 돈암동 603-1,37.598039,127.0105659,02-2241-5164,900.0,1800.0,2022-08-03 12:15:41,1000원,88
16336,4,기타공구,44,기타공구,미러리스카메라,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 19:17:43,3000원,-1
14682,4,기타공구,44,기타공구,발 펌프,없음,1,369,용산2가동주민센터 우리동네 공구함,서울특별시 용산구 용산동2가 11,37.54608,126.98557,02-2199-8420,900.0,1800.0,2022-07-15 15:08:41,무료,162
14936,4,기타공구,44,기타공구,발펌프,1일,1,13250,한남동주민센터,서울특별시 용산구 한남동 685-43,37.53455,127.0005,02-2199-8667,900.0,1800.0,2022-09-28 16:18:43,10000원,162
16322,4,기타공구,44,기타공구,방구석 방송세트,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 19:04:04,2000원,-1
16321,4,기타공구,44,기타공구,방구석라이브세트,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 19:00:33,2000원,-1
16633,4,기타공구,44,기타공구,방역분무기,없음,1,13215,삼양동 주민센터,서울특별시 강북구 미아동 762-20,37.6250518,127.0197725,02-3778-4004,900.0,1800.0,2024-06-10 14:46:28,무료,16
14702,4,기타공구,44,기타공구,방역분무기,없음,1,162,이문제2동 공구대여소,서울시 동대문구 신이문로 27-5,37.6033142,127.0629214,02-2171-6503,900.0,1800.0,2022-07-19 17:33:42,무료,16
16319,4,기타공구,44,기타공구,방역소독기,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,900.0,1800.0,2024-04-22 18:58:29,1000원,16
13595,4,기타공구,44,기타공구,배수구 청소기,없음,1,492,장충동 공구대여소,서울특별시 중구 장충동1가 37-14,37.56191,127.00784,02-3396-8504,900.0,1800.0,2022-06-15 17:00:32,무료,-1
16267,4,기타공구,44,기타공구,배터리충전기,없음,1,502,중림동주민센터 공구 및 물품 대여소,서울특별시 중구 만리동2가 273,37.5547875,126.9645476,02-3396-6927,900.0,1800.0,2024-04-03 15:03:14,무료,-1
11086,4,기타공구,44,기타공구,벡터 스트리퍼,없음,1,13033,위례동주민센터,서울특별시 송파구 장지동 882,37.4812034,127.1439126,02-2147-4950,900.0,1800.0,2020-11-25 14:41:11,무료,82
9445,4,기타공구,44,기타공구,변기 관통기,없음,2,13013,일원1동 주민센터,서울특별시 강남구 일원동 712-3,37.4918388,127.0879628,02-3423-8370,900.0,1800.0,2018-11-22 10:34:05,무료,-1
12267,4,기타공구,44,기타공구,보쉬 GLM 40 거리측정기,1일,1,262,석관동 공구대여소,서울특별시 성북구 화랑로 296,37.61296,127.0614,02-2241-5760,900.0,1800.0,2021-09-30 10:53:46,1000원,-1
13654,4,기타공구,44,기타공구,보쉬 수공구,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,900.0,1800.0,2022-06-16 16:59:19,무료,340
11144,4,기타공구,44,기타공구,보쉬 열풍기,1일,1,238,반포반딧불센터,서울특별시 서초구 신반포로42길 12 1층,37.50975,127.01846,02-516-7887,1000.0,1800.0,2020-11-25 15:27:36,10000원,-1
16268,4,기타공구,44,기타공구,보쉬수공구세트,없음,2,502,중림동주민센터 공구 및 물품 대여소,서울특별시 중구 만리동2가 273,37.5547875,126.9645476,02-3396-6927,900.0,1800.0,2024-04-03 15:18:38,무료,340
15337,4,기타공구,44,기타공구,보안경,없음,2,166,흑석동주민센터 공구대여소,서울특별시 동작구 흑석한강로11,37.5058617,126.966612,02-820-2546,900.0,1800.0,2023-03-03 14:22:52,무료,30
12497,4,기타공구,44,기타공구,보안경,1일,5,13168,집수리지원센터 공구대여소(건축과),서울특별시 성북구 삼선동5가 411,37.5894,127.016749,02-2241-2923,900.0,1800.0,2021-10-01 13:14:29,1000원,30
8911,4,기타공구,44,기타공구,보안경,없음,5,99,개봉2동 공구대여소,서울 구로구 개봉로16가길 17,37.4907879,126.8543442,02-2620-7255,900.0,1800.0,2018-02-02 13:30:00,무료,30
8983,4,기타공구,44,기타공구,보안경,없음,3,102,오류2동 공구대여소,서울특별시 구로구 오류동 172-76,37.4887725,126.8395642,02-2620-7578,900.0,1800.0,2018-02-02 13:30:00,무료,30
14451,4,기타공구,44,기타공구,보안경(물안경 타입),없음,1,246,금호2-3가동 공구대여소,서울특별시 성동구 금호동2가 1212,37.55321,127.02092,02-2286-7364,900.0,1800.0,2022-06-28 09:26:50,무료,30
13557,4,기타공구,44,기타공구,보행보조기,1일,2,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,900.0,1800.0,2022-06-14 17:22:24,1000원,18
12355,4,기타공구,44,기타공구,볼렌치세트(8피스),1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,900.0,1800.0,2021-09-30 15:40:38,500원,-1
12356,4,기타공구,44,기타공구,볼렌치세트(9피스),1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,900.0,1800.0,2021-09-30 15:40:59,500원,-1
13658,4,기타공구,44,기타공구,볼트캇타,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,900.0,1800.0,2022-06-16 17:02:16,무료,125
17126,4,기타공구,44,기타공구,부탄가스토치,없음,1,246,금호2-3가동 공구대여소,서울특별시 성동구 금호동2가 1212,37.55321,127.02092,02-2286-7364,900.0,1800.0,2025-01-07 13:25:52,무료,15
10051,4,기타공구,44,기타공구,부탄가스히타,없음,2,13023,개포2동 주민센터 공구대여소,서울특별시 강남구 개포동 182,37.4897717,127.0689391,02-3423-7758,900.0,1800.0,2018-11-27 14:38:01,무료,5
9537,4,기타공구,44,기타공구,부탄가스히타,없음,1,13013,일원1동 주민센터,서울특별시 강남구 일원동 712-3,37.4918388,127.0879628,02-3423-8370,900.0,1800.0,2018-11-22 10:58:46,무료,5
9326,4,기타공구,44,기타공구,부탄가스히타,없음,0,13007,개포4동 주민센터,서울특별시 강남구 개포동 1211-4,37.4788568,127.0516419,02-3423-7854,900.0,1800.0,2018-11-20 16:42:50,무료,5
9164,4,기타공구,44,기타공구,부탄가스히터,없음,1,13005,일원본동 주민센터,서울특별시 강남구 일원동 735-3,37.483362,127.0864614,02-3423-8253,900.0,1800.0,2018-11-19 11:23:11,무료,5
